"DateTime	PSNR-DateTime	PSNR-Value	PSNR-MeanA	PSNR-MeanH	PSNR-Min	PSNR-Max	PSNR-StdDevP	SSIM-DateTime	SSIM-Value	SSIM-MeanA	SSIM-MeanH	SSIM-Min	SSIM-Max	SSIM-StdDevP	VMAF-DateTime	VMAF-Value	VMAF-MeanA	VMAF-MeanH	VMAF-Min	VMAF-Max	VMAF-StdDevP	PSNR-Options	SSIM-Options	VMAF-Options	Frame	Bitrate	FileSpec	FFMetrics	FFMpeg"
"2026-04-22 09:27:33	2026-04-22 09:23:05	46.100531	48.232885	47.548326	36.900000	100.000000	7.217684	2026-04-22 09:26:04	0.993883	0.993883	0.993874	0.970225	1.000000	0.002936											1920x1080-23.98p, yuv420p10le (tv)	2676	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(335).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:23:13	45.985934	48.039878	47.371629	36.880000	100.000000	7.163561	2026-04-22 09:26:12	0.993668	0.993668	0.993659	0.969905	1.000000	0.002971											1920x1080-23.98p, yuv420p10le (tv)	2601	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(406).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:23:21	46.026017	48.090014	47.420273	36.880000	100.000000	7.167323	2026-04-22 09:26:20	0.993721	0.993721	0.993712	0.970196	1.000000	0.002971											1920x1080-23.98p, yuv420p10le (tv)	2673	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(407).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:23:29	46.12826	48.414748	47.700028	36.840000	100.000000	7.309355	2026-04-22 09:26:28	0.99409	0.994090	0.994081	0.970244	1.000000	0.002957											1920x1080-23.98p, yuv420p10le (tv)	2796	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(408).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:23:38	46.576011	48.766086	48.081301	37.870000	100.000000	7.197572	2026-04-22 09:26:36	0.994381	0.994381	0.994374	0.974925	1.000000	0.002629											1920x1080-23.98p, yuv420p10le (tv)	2879	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(409).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:23:46	46.815989	48.951390	48.280913	37.860000	100.000000	7.145635	2026-04-22 09:26:44	0.994579	0.994579	0.994573	0.975126	1.000000	0.002496											1920x1080-23.98p, yuv420p10le (tv)	2883	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(410).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:23:54	46.09978	48.231442	47.547529	36.900000	100.000000	7.213802	2026-04-22 09:26:52	0.993883	0.993883	0.993875	0.970225	1.000000	0.002937											1920x1080-23.98p, yuv420p10le (tv)	2682	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(411).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:24:02	46.14019	48.277379	47.593085	36.910000	100.000000	7.213710	2026-04-22 09:27:00	0.99393	0.993930	0.993921	0.970316	1.000000	0.002935											1920x1080-23.98p, yuv420p10le (tv)	2755	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(412).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:24:10	46.361726	48.848505	48.090735	36.890000	100.000000	7.453966	2026-04-22 09:27:08	0.99453	0.994530	0.994522	0.970979	1.000000	0.002904											1920x1080-23.98p, yuv420p10le (tv)	3149	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(413).mkv	1.5	7.1-full_build-www.gyan.dev"
"2026-04-22 09:27:33	2026-04-22 09:24:19	46.841731	49.239656	48.511217	37.900000	100.000000	7.346691	2026-04-22 09:27:17	0.99484	0.994840	0.994833	0.975711	1.000000	0.002584											1920x1080-23.98p, yuv420p10le (tv)	3278	E:\Convert\files\[DC] Make Heroine ga Oosugiru - 07_Telegram_HEVC(414).mkv	1.5	7.1-full_build-www.gyan.dev"
